Category,Description,RAM,File Size,CPU_Intel,CPU_AMD,GPU_NVIDIA,GPU_AMD,GPU_Intel,CPU_Intel_score,CPU_AMD_score,GPU_NVIDIA_score,GPU_AMD_score,GPU_Intel_score,App
"['RPG', 'Adventure', 'Free to Play']",Honkai: Star Rail is a new HoYoverse space fantasy RPG. Hop aboard the Astral Express and experience the galaxys infinite wonders on this journey filled with adventure and thrills.,6,20,Intel Core i3-2120,Intel Core i3-2120,NVIDIA GeForce GTX 650,NVIDIA GeForce GTX 650,NVIDIA GeForce GTX 650,12419,12419,1749,1749,1749,Honkai: Star Rail
"['Strategy', 'RPG', 'Adventure']","Dive into the Dark Hour and awaken the depths of your heart. Persona 3 Reload is a captivating reimagining of the genre-defining RPG, reborn for the modern era with cutting-edge graphics and gameplay.",8,30,Intel Core i5-2300,FX-4350,NVIDIA GeForce GTX 650 Ti,Radeon HD 7850,NVIDIA GeForce GTX 650 Ti,14365,3176,2528,3886,2528,Persona 3 Reload
['Unknown'],Bluestacks is an android emulator that allows you to run Android games and applications on your Windows PC. Looking for how to play mobile games on PC? This is the application you need.,4,5,Intel Core 2 Duo E8400,Intel Core 2 Duo E8400,,,Intel HD Family,594,594,463,463,463,BlueStacks
"['Strategy', 'Sports', 'Simulation']",Build a world-class team ready to dominate your rivals in football s most prestigious competitions. Progress never stops when you re pursuing footballing greatness.,4,7,AMD Athlon 64 FX-34,AMD Athlon 64 FX-34,AMD GeForce 9600M GT,AMD GeForce 9600M GT,AMD GeForce 9600M GT,972,972,149,149,149,Football Manager 2024
"['Action', 'Free to Play', 'Violent']","From one of gamings most iconic sagas, Halo is bigger than ever. Featuring an expansive open-world campaign and a dynamic free to play multiplayer experience.",8,50,Intel Core i5-4460,Intel Core i5-4460,AMD Radeon RX 570,AMD Radeon RX 570,AMD Radeon RX 570,25352,25352,610,610,610,Halo Infinite
"['Action', 'Adventure']","After the events of Marvel s Spider-Man Remastered, teenage Miles Morales is adjusting to his new home while following in the footsteps of his mentor, Peter Parker, as a new Spider-Man. When a fierce power struggle threatens to destroy his home, Miles must take up the mantle of Spider-Man and own it",8,75,Intel Core i3-4160,Intel Core i3-4160,AMD Radeon RX 470,AMD Radeon RX 470,AMD Radeon RX 470,15300,15300,610,610,610,Marvel’s Spider-Man: Miles Morales
"['Action', 'MMO', 'Free to Play']","Squad up in Mecha BREAK, a multiplayer third-person shooter offering players three unique game modes filled with high-octane ground and aerial combat. Choose from diverse classes, customize your appearance, and battle hostile mechs across treacherous terrain. Are you ready for the ultimate showdown?",8,0,Intel Core i5-6500,Intel Core i5-6500,AMD Radeon RX 570,AMD Radeon RX 570,AMD Radeon RX 570,19760,19760,610,610,610,Mecha BREAK
"['Action', 'RPG']",Lead the members of Expedition 33 on their quest to destroy the Paintress so that she can never paint death again. Explore a world of wonders inspired by Belle poque France and battle unique enemies in this turn-based RPG with real-time mechanics.,8,55,Intel Core i7-8700K,Ryzen 5 1600X,NVIDIA GeForce GTX 1060,Radeon RX 5600 XT,NVIDIA GeForce GTX 1060,34465,13036,10081,13483,10081,Clair Obscur: Expedition 33
"['Indie', 'Adventure']",Experience surreal environments and inexplicable characters as ENA in a new wild world.,6,10,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,NVIDIA GeForce 7100,NVIDIA GeForce 7100,NVIDIA GeForce 7100,594,594,126,126,126,ENA: Dream BBQ
['Unknown'],"In the direct sequel to the record-breaking Call of Duty : Modern Warfare II, Captain Price and Task Force 141 face off against the ultimate threat.",8,79,Intel Core i5-6600,Ryzen 5 1400,NVIDIA GeForce GTX 960,Radeon RX 470,NVIDIA GeForce GTX 960,21435,7735,6115,7960,6115,Call of Duty: Modern Warfare III
"['Action', 'FPS']","The Call of Duty experience supports Call of Duty : Black Ops 6, Call of Duty : Modern Warfare III, Call of Duty : Modern Warfare II and Call of Duty : Warzone .",8,125,Intel Core i5-2500K,Ryzen 3 1200,NVIDIA GeForce GTX 960,Radeon RX 470,NVIDIA GeForce GTX 960,19760,6261,6115,7960,6115,Call of Duty Modern Warfare 2
"['Action', 'Adventure', 'Violent']",Fear and isolation seep through the walls of an abandoned southern farmhouse. 7 marks a new beginning for survival horror with the Isolated View of the visceral new first-person perspective.,8,24,Intel Core i5-4460,FX-6300,NVIDIA GeForce GTX 960,Radeon RX 460,NVIDIA GeForce GTX 960,25352,4223,6115,4092,6115,Resident Evil 7
"['Action', 'Racing', 'Adventure']","Ready to own the streets? Get behind the wheel of iconic cars and floor it through Ventura Bay, a sprawling urban playground. Explore overlapping stories as you build your reputation and your dream car and become the ultimate racing icon.",6,30,Intel Core i3-4130,Intel Core i3-4130,AMD Radeon HD 7850,AMD Radeon HD 7850,AMD Radeon HD 7850,14365,14365,3886,3886,3886,Need for Speed (2015)
"['Action', 'RPG', 'Adventure']",Save humanity from extinction in post-apocalyptic action-adventure Stellar Blade . Experience blistering combat and a twisting storyline as you unravel the mysteries of Earth s downfall.,16,75,Intel Core i5-7600K,Ryzen 5 1600X,NVIDIA GeForce GTX 1060 6GB,Radeon RX 580,NVIDIA GeForce GTX 1060 6GB,27629,13036,10081,8822,10081,Stellar Blade
"['Action', 'Adventure', 'Early Access']","Immerse yourself in a new adventure with Subnautica 2, an open-water survival game from the creators of the Subnautica series. Play alone or with friends as you explore alluring biomes and discover fascinating creatures. Craft vehicles, tools, and bases to survive this mysterious alien world.",8,50,Intel Core i5-8400,Ryzen 5 2600,NVIDIA GeForce GTX 1660,Radeon RX 5500 XT,NVIDIA GeForce GTX 1660,19102,13167,11659,9091,11659,Subnautica 2
"['Action', 'MMO', 'Free to Play']","Get ready to dive into the ultimate Extraction Royale where PvP and PvE collide in an all-out battle for survival! Teardrop Island once full of promise, now a dystopian warzone needs a hero. Too bad its getting you.",16,0,Intel Core i5-9400,Intel Core i5-9400,NVIDIA GeForce RTX 3060,NVIDIA GeForce RTX 3060,NVIDIA GeForce RTX 3060,19102,19102,126,126,126,Off The Grid
"['Strategy', 'Simulation']","Lead your team to glory in F1 Manager 2024. A new Formula 1 season has arrived, and with it, the most comprehensive F1 management experience to date. Build a legacy with one of 10 official F1 constructors or create your own team for the very first time.",4,0,Intel Core i5-12400T,Intel Core i5-12400T,NVIDIA GeForce GTX 1070,NVIDIA GeForce GTX 1070,NVIDIA GeForce GTX 1070,15854,15854,13498,13498,13498,F1 Manager 2024
"['Casual', 'Indie', 'Adventure']","From the depths of hell, climb chained to your friends through diverse worlds. Solo or co-op, try to reach the summit and discover what awaits you there...",8,6,Intel Core i5-6600,Ryzen 5 1600X,NVIDIA GeForce GTX 1650,NVIDIA GeForce GTX 1650,NVIDIA GeForce GTX 1650,21435,13036,7878,7878,7878,Chained Together
"['Action', 'FPS']","Experience survival horror like never before in the 8th major installment in the Resident Evil franchise - Resident Evil Village. With detailed graphics, intense first-person action and masterful storytelling, the terror has never felt more realistic.",8,50,Intel Core i5-7500,Intel Core i5-7500,NVIDIA GeForce GTX 1050 Ti,NVIDIA GeForce GTX 1050 Ti,NVIDIA GeForce GTX 1050 Ti,19760,19760,6339,6339,6339,Resident Evil Village
"['Action', 'MMO']","Enlisted is an MMO squad based shooter for PC, Xbox Series X|S and PlayStation 5 in World War II where you act as an infantry squad leader, tank crew or an aircraft pilot. The weaponry, soldier s uniform, appearance and capabilities of the vehicles in the game are in line with historical facts.",8,12,Intel Core i3-2120,Intel Core i3-2120,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,12419,12419,4023,4023,4023,Enlisted
"['Action', 'RPG', 'Adventure']","Borderlands 4 is a mayhem-fueled looter shooter, jam-packed with billions of weapons, deadly enemies, and intense co-op action. Break free from a dangerous hidden planet as one of four new badass Vault Hunters.",8,100,Intel Core i7-4770K,Intel Core i7-4770K,NVIDIA GeForce GTX 1660,NVIDIA GeForce GTX 1660,NVIDIA GeForce GTX 1660,52628,52628,11659,11659,11659,Borderlands 4
"['Strategy', 'Simulation']","Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the most engaging conflict in world history.",4,2,Intel Core 2 Quad Q9400,Intel Core 2 Quad Q9400,ATI Radeon HD 5850,ATI Radeon HD 5850,ATI Radeon HD 5850,756,756,1968,1968,1968,Hearts of Iron IV
"['Action', 'RPG', 'Adventure']","Welcome to THRONE AND LIBERTY, a free-to-play, multi-platform MMORPG. With an always changing environment, Massive Scale PvPvE, and the ability to transform into creatures to battle across land, sea, and air.",8,63,Intel Core i7-7700,Intel Core i7-7700,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,30444,30444,6115,6115,6115,Throne and Liberty
"['Action', 'FPS']","Flee the shattered ruins of the Moscow Metro and embark on an epic, continent-spanning journey across the post-apocalyptic Russian wilderness. Explore vast, non-linear levels, lose yourself in an immersive, sandbox survival experience, and follow a thrilling story-line that spans an entire year in the greatest Metro adventure yet.",8,59,Intel Core i5-4440,Intel Core i5-4440,AMD Radeon HD 7870,AMD Radeon HD 7870,AMD Radeon HD 7870,25352,25352,4602,4602,4602,Metro Exodus
"['Action', 'FPS']",Call of Duty returns to its roots with Call of Duty : WWII - a breathtaking experience that redefines World War II for a new gaming generation.,8,90,Intel Core i3-3225,Intel Core i3-3225,AMD Radeon HD 7850,AMD Radeon HD 7850,AMD Radeon HD 7850,2263,2263,3886,3886,3886,Call of Duty WW2
"['Casual', 'Indie', 'Adventure']","Murder and mystery lead a young detective to investigate a cult and to cross paths with a criminal organization. With the help of an angel and a harem of beauties, take on the challenge of saving the world from a mysterious threat.",2,9,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,NVIDIA GeForce 510,NVIDIA GeForce 510,NVIDIA GeForce 510,594,594,290,290,290,The Genesis Order
['Unknown'],"Developed by Remedy Entertainment and published by Epic Games Publishing, Alan Wake 2 is the latest in the horror game series. Saga Anderson arrives to investigate ritualistic murders in a small town. Alan Wake pens a dark story to shape the reality around him. These two heroes are somehow connected. Can they become the heroes they need to be?",16,90,Intel Core i5-7600K,Intel Core i5-7600K,NVIDIA GeForce GTX 1070,Radeon RX 5600 XT,NVIDIA GeForce GTX 1070,27629,27629,13498,13483,13498,Alan Wake 2
"['Free to Play', 'Early Access']","Dolphin is an emulator for the big Ns 6th and 7th generation consoles, featuring enhancements such as increased resolution, save states, and netplay.",2,4,Intel Core i5-3550,Intel Core i5-3550,,,Intel HD 4000,31430,31430,345,345,345,Dolphin Emulator
"['Action', 'Adventure', 'FPS']","Rise of the Tomb Raider: 20 Year Celebration includes the base game and Season Pass featuring all-new content. Explore Croft Manor in the new Blood Ties story, then defend it against a zombie invasion in Lara s Nightmare .",6,25,Intel Core i3-2100,Intel Core i3-2100,NVIDIA GeForce GTX 650,NVIDIA GeForce GTX 650,NVIDIA GeForce GTX 650,12419,12419,1749,1749,1749,Rise of the Tomb Raider
"['Action', 'Adventure', 'FPS']","An inadvertent brush with the mob thrusts cabdriver Tommy Angelo into the world of organized crime. Initially uneasy about falling in with the Salieri family, the rewards become too big to ignore.",6,50,Intel Core i5-2550K,Intel Core i5-2550K,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,4181,4181,4023,4023,4023,Mafia: Definitive Edition
"['Action', 'Racing', 'Adventure']","The open-world action in Need for Speed Most Wanted gives you the freedom to drive your way. Hit jumps and shortcuts, switch cars, lie low or head for terrain that plays to your vehicle s unique strengths. Fight your way past cops and rivals using skill, high-end car tech and tons of nitrous.",2,20,Intel Core 2 Duo T7250,Intel Core 2 Duo T7250,ATI Radeon 3000,ATI Radeon 3000,ATI Radeon 3000,594,594,98,98,98,Need for Speed Most Wanted (2012)
"['Adventure', 'FPS']","The American Colonies, 1775. As a Native American assassin fights to protect his land and people, he will ignite the flames of a young nation s revolution.",2,17,Intel Core 2 Duo E8200,Intel Core 2 Duo E8200,NVIDIA GeForce 7200 GS,NVIDIA GeForce 7200 GS,NVIDIA GeForce 7200 GS,594,594,23,23,23,Assassin's Creed III
"['RPG', 'FPS']","Bethesda Game Studios welcome you to Fallout 76. Twenty-five years after the bombs fall, you and your fellow Vault Dwellers emerge into post-nuclear America. Explore a vast wasteland in this open-world multiplayer addition to the Fallout story.",8,80,Intel Core i5-6600K,Intel Core i5-6600K,NVIDIA GeForce GTX 780,NVIDIA GeForce GTX 780,NVIDIA GeForce GTX 780,27629,27629,7988,7988,7988,Fallout 76
"['Action', 'Indie', 'Adventure']","Forge your own path in Hollow Knight! An epic action adventure through a vast ruined kingdom of insects and heroes. Explore twisting caverns, battle tainted creatures and befriend bizarre bugs, all in a classic, hand-drawn 2D style.",4,9,Intel Pentium E5200,Intel Pentium E5200,AMD GeForce 9800 GTX,AMD GeForce 9800 GTX,AMD GeForce 9800 GTX,932,932,769,769,769,Hollow Knight
['Unknown'],"Sifu is the new game of Sloclap, the independent studio behind Absolver. A third-person action game featuring intense hand-to-hand combat, it puts you in control of a young Kung-Fu student on a path of revenge.",8,22,AMD FX-4350,AMD FX-4350,AMD Radeon R7 250,AMD Radeon R7 250,AMD Radeon R7 250,3150,3150,1049,1049,1049,Sifu
['Unknown'],Experience unparalleled realism and authenticity in this years definitive football game: PES 2020.,4,40,Intel Core i5-3470,Intel Core i5-3470,AMD Radeon HD 7870,AMD Radeon HD 7870,AMD Radeon HD 7870,23679,23679,4602,4602,4602,eFootball  PES 2020
['Unknown'],ALARM! You have been selected for a mission which will shape the fate of the entire world. Witness the very beginning of the legendary elite WWII force in Commandos: Origins. The long-awaited sequel to the Commandos series brings you right back to the foundation of the real-time tactics genre.,8,31,Intel Core i5-4690K,Intel Core i5-4690K,GeForce GTX 970,AMD Radeon RX 580,GeForce GTX 970,38654,38654,9642,8822,9642,Commandos: Origins
"['Strategy', 'Casual', 'Simulation']","Build a world for wildlife in Planet Zoo. From the developers of Planet Coaster and Zoo Tycoon comes the ultimate zoo sim. Construct detailed habitats, manage your zoo, and meet authentic living animals who think, feel and explore the world you create around them.",8,16,Intel Core i5-2500,Intel Core i5-2500,AMD Radeon R9 270X,AMD Radeon R9 270X,AMD Radeon R9 270X,19760,19760,4871,4871,4871,Planet Zoo
"['Action', 'Adventure']","Become the legendary part man, part machine, all cop hero and deliver justice in Old Detroit.",16,0,Intel Core i7-4790,Ryzen 5 2600,NVIDIA GeForce GTX 1650,Radeon RX 480,NVIDIA GeForce GTX 1650,41711,13167,7878,8569,7878,RoboCop: Rogue City
"['Action', 'FPS', 'Third-person shooter']","No longer a New York City cop, Max Payne moves to S o Paulo to protect a wealthy family in an effort to finally escape his troubled past. This complete edition of Max Payne 3 includes the complete original game and all previously released downloadable content.",2,35,Intel Core 2 Duo E8400,Intel Core 2 Duo E8400,NVIDIA GeForce 8600 GT,NVIDIA GeForce 8600 GT,NVIDIA GeForce 8600 GT,594,594,131,131,131,Max Payne 3
